True,908,0,0,1,2,3,4,1,5,6,7,8,9
True,1054,0,10,1,6,11,12,1,5,2,7,3,9
False,1571,1,9,13,8,14,15,0,10,16,6,7,4
False,1490,0,9,7,17,18,10,1,19,4,16,1,20
True,951,1,5,21,22,23,9,2,24,25,26,27,10
False,2748,1,0,21,28,7,9,2,10,6,25,27,13
True,998,1,29,30,23,3,9,2,1,4,31,8,32
False,2651,3,33,3,25,30,7,1,19,34,35,1,15
True,2366,1,36,30,22,23,9,3,37,38,39,40,1
False,2512,4,29,13,1,41,42,3,43,16,44,6,18
False,1675,4,0,13,8,14,45,3,46,47,48,30,7
True,2060,1,5,16,30,35,15,5,49,1,4,27,9
True,2805,5,0,50,51,14,19,1,48,34,16,52,49
True,1929,6,53,54,20,55,56,7,57,58,59,60,61
True,3999,4,29,10,62,63,42,3,32,64,9,4,3
False,2452,5,65,14,2,1,42,1,0,66,67,8,9
False,2705,8,10,65,25,66,14,4,2,13,28,24,29
False,1984,4,16,21,68,14,30,8,10,65,13,25,24
True,1946,4,65,29,10,14,30,8,35,5,34,25,16
True,1904,5,0,50,2,14,19,9,7,4,34,1,9
True,1285,9,27,25,65,63,5,5,0,1,32,11,48
True,2035,5,15,16,2,1,0,9,64,25,24,69,44
False,2157,2,47,70,38,27,21,0,9,35,71,0,4
True,3061,0,0,16,17,35,34,2,24,4,48,8,72
True,2149,2,53,30,9,73,21,3,74,68,26,25,14
False,3370,3,34,75,65,6,1,2,64,24,48,76,30
True,2173,0,9,16,1,4,17,1,48,2,8,14,49
True,1942,1,0,2,28,7,9,0,42,48,49,13,22
True,862,0,12,1,49,11,32,1,0,21,23,22,6
False,3351,8,27,4,9,30,3,0,25,16,2,34,7
False,1683,0,48,49,22,65,3,8,1,77,36,25,24
True,994,0,0,1,71,12,35,8,16,48,37,20,24
False,1218,9,16,30,57,78,19,0,48,79,6,32,64
False,2079,9,75,30,2,78,12,0,48,16,6,1,34
False,1106,10,13,23,72,8,31,0,9,7,21,49,3
False,3324,0,48,49,3,65,64,10,13,16,15,1,42
False,2215,10,80,14,4,8,66,0,48,15,22,52,13
True,682,3,2,63,39,62,67,5,70,75,81,27,19
False,4231,5,65,24,51,0,12,3,70,27,82,72,14
True,2811,5,6,16,2,1,0,4,4,30,75,63,20
True,2169,4,66,65,68,14,80,5,46,75,4,24,48
True,2289,5,0,50,51,1,14,4,9,27,30,83,29
True,1513,4,0,24,75,3,21,11,47,32,5,13,27
False,1627,11,24,72,4,30,1,4,65,13,75,41,29
False,1562,12,81,78,1,30,18,0,9,7,15,65,3
True,2184,0,0,77,16,10,1,4,5,34,47,24,30
False,4835,12,74,3,9,40,16,4,42,13,27,63,30
True,1843,13,27,79,57,55,16,5,73,8,2,14,9
True,1013,12,13,1,9,74,75,11,63,33,25,30,52
False,2844,14,42,14,84,78,20,2,47,70,85,27,21
False,2020,8,10,0,33,17,3,1,48,34,1,14,49
False,2658,2,83,25,38,24,37,3,76,82,9,4,18
True,3450,12,65,23,44,4,3,15,0,12,16,1,30
False,2698,16,41,62,74,36,37,1,19,30,22,23,15
False,3980,9,27,30,43,28,48,14,70,14,72,3,42
True,1873,10,25,3,30,7,0,13,47,20,43,5,16
True,2717,4,65,24,27,83,29,5,25,3,10,14,0
True,1948,17,42,83,21,28,62,16,67,24,81,8,51
True,1970,9,27,30,2,28,48,0,42,7,25,26,1
False,2554,9,1,25,4,86,30,8,16,0,33,66,24
True,2339,11,14,43,48,30,47,10,76,3,5,79,9
False,3559,1,5,30,1,16,20,5,87,14,74,41,48
False,3701,15,26,33,1,64,62,2,75,4,31,63,30
True,2513,17,31,3,62,14,76,13,64,27,6,4,88
True,3368,11,63,37,25,13,16,14,4,11,10,28,66
True,3467,17,42,23,12,28,0,0,4,3,72,13,64
False,4687,8,7,30,2,48,28,5,15,8,24,14,19
False,1510,16,35,34,0,1,72,9,47,30,57,78,12
True,2949,12,65,1,6,44,16,4,48,13,68,22,17
False,2673,10,4,7,37,18,48,4,65,13,47,22,17
False,1641,0,66,3,30,4,18,3,34,1,39,40,60
False,977,11,24,70,25,2,1,1,48,66,22,23,49
True,4115,12,5,72,16,9,1,13,14,10,42,36,47
True,4197,2,83,6,25,41,37,17,48,42,30,52,89
True,1614,0,0,1,17,10,64,16,14,47,66,53,65
False,3267,9,27,73,37,18,31,3,70,90,44,15,35
True,2329,8,10,13,37,3,0,4,16,9,27,24,47
True,2380,10,4,14,15,35,66,15,25,91,83,27,30
True,2045,14,34,14,10,16,66,5,65,1,30,47,25
